CD20 CD3 CD44 CD68 CarbonicAnhydraseIX CleavedCaspase3 Creb Cytokeratin7 Cytokeratin8-18 E-cadherin ERa EpCAM Erk12 Fibronectin GATA3 Her2 HistoneH3 Ki-67 PRAB S6 SMA Slug Twist Vimentin b-catenin c-Myc
-0.552163589019 -0.545096792153 -0.547252880096 -0.566832803869 -0.55670996738 -2.27852808963 0.412083015674 -1.35287649136 -4.19876777811 -3.08473562384 -0.896396477725 -0.571355258431 -1.24229823132 1.64109786584 0.321384203378 -1.60496790144 -0.628627336294 -0.542744145379 -0.661591108419 -0.720226589853 -1.58744065302 -0.577456256885 -1.05232198472 0.877640032665 -1.87701281007 -1.46485042821
-0.584279944019 -0.571087276737 -0.575112374869 -0.611665204195 -0.592767361754 -2.33751019502 0.830099370569 -1.09558104684 -3.33305836125 -3.5168837786 -0.243400199647 -0.620107959727 -0.889147747443 2.65765603183 0.193945303357 -1.56619852185 -0.821202874934 -0.566695232265 -0.78856498039 -0.898028774534 -1.5334777346 -0.631497623842 -0.534490119642 0.248881112199 -2.07406623519 -1.30461986894
-0.5688180698 -0.558574598896 -0.561699893783 -0.590081405698 -0.575408140994 -3.07121977529 0.463924622053 -1.7294682869 -4.05931309047 -4.23983457702 -1.06779089244 -0.596636798841 -1.5691827699 3.58653431989 0.255298599605 -1.11136832792 -0.742014608239 -0.555164387845 -0.727435564007 -0.812428929364 -1.08596221216 -0.605480324603 -1.29380819904 1.87342593143 -2.48921492058 -1.89177686683
-0.555851157936 -0.548080994535 -0.550451680426 -0.57198041685 -0.560850042639 -2.45404273096 0.767763920698 -1.43625994942 -4.56540611544 -3.34049304143 -0.934345947575 -0.576952996591 -1.31467570617 2.81491849256 0.306751791744 -1.71344231158 -1.02606614985 -0.545494186084 -0.676170125981 -0.740641665275 -0.710658788075 -0.583661234536 -1.10579090216 1.40449824959 -2.01256416729 -1.55937878281
-0.560315825923 -0.551694072186 -0.554324579279 -0.578212810985 -0.565862575797 -2.6665444138 0.466338275374 -1.53721520319 -4.02579613907 -3.65014744532 -0.980292691076 -0.583730372939 -1.40230563316 1.89913533603 0.289035821882 -0.861264286425 -0.718182405409 -0.548823756045 -0.693821449781 -0.765358907378 -1.82339216223 -0.591173816865 -0.562440144181 1.45381435909 -2.17668091164 -0.690315782981
-0.56302443004 -0.553886037418 -0.556674171636 -0.581993851021 -0.568903556221 -2.7954639515 0.599680572261 -1.59846226944 -4.29510042385 -2.8544953787 -1.00816744883 -0.587842040263 -1.45546855181 3.87708320056 -0.705223788347 -0.940941233613 -1.40823428631 -0.550843724144 -0.704530073232 -0.78035424945 -0.918275960974 -0.595731515552 -1.20980172948 2.55702016682 -1.29273473112 -0.759749031865
-0.554139524644 -0.546695838009 -0.548966915459 -0.569591085029 -0.558928372616 -2.37257531701 0.365783102434 -1.39755642792 -4.39522614087 -3.22177989447 -0.916731205317 -0.574354733287 -1.28108075558 2.51546366634 0.313543616783 -1.66309249685 -0.879980327959 -0.54421771876 -0.669403084498 -0.731165741285 -0.661118709279 -0.580781113089 -1.08097260553 1.38559178328 -1.9496462338 -1.51550221196
-0.554139524644 -0.546695838009 -0.548966915459 -0.569591085029 -0.558928372616 -2.37257531701 0.80787072983 -1.39755642792 -4.39522614087 -3.22177989447 -0.916731205317 -0.574354733287 -1.28108075558 2.18976671234 0.313543616783 -1.66309249685 -0.879980327959 -0.54421771876 -0.669403084498 -0.731165741285 -0.661118709279 -0.580781113089 -1.08097260553 0.899465946239 -1.9496462338 -1.51550221196
-0.553514122124 -0.546189724705 -0.548424406877 -0.568718062667 -0.558226226146 -2.34280847026 0.380437467699 -1.38341480076 -4.33304519051 -3.17840407239 -0.910295069592 -0.573405370814 -1.26880571581 2.74094581295 0.316025237413 -0.661183739002 -1.12592311213 -0.543751318695 -0.66693051937 -0.727703395256 -0.64301758317 -0.579728764308 -1.07190441008 1.37868367294 -1.92665706066 -1.49947043807
-0.55827690143 -0.550044051952 -0.552555903903 -0.575366601348 -0.563573452248 -2.56949914925 0.268836529933 -1.49111095978 -4.80658684495 -3.50873447794 -0.959309733113 -0.580635280835 -0.378775032137 3.77291477602 0.297126350668 -1.78479856298 -1.53242053914 -0.547303208097 -0.685760443558 -0.754071037716 -0.508551128649 -0.587742970908 -1.14096363561 2.00226724027 -2.1017320799 -1.62156108946
